Industry,Company Size,Region,Market Size (millions),CAGR (%),Profitability (%),Competitive Intensity,Technology Maturity,AI Readiness,Sustainability Score
Software & IT Services,Enterprise (5000+),North America,2500,12.5,18.5,65,85,80,70
Healthcare,Large (501-5000),Europe,1800,15.2,15.8,55,70,65,80
Financial Services,Enterprise (5000+),Asia Pacific,3200,18.6,14.2,75,75,72,65
Manufacturing,Medium (51-500),North America,950,8.4,12.1,60,65,60,75
Retail,Large (501-5000),North America,1350,9.2,10.5,80,70,68,72
Energy & Utilities,Enterprise (5000+),Europe,2100,6.8,20.5,45,55,50,85
Telecommunications,Enterprise (5000+),Asia Pacific,2800,7.5,16.8,70,80,75,65
Education,Medium (51-500),North America,650,10.5,8.5,40,60,58,75
Professional Services,Small (10-50),Europe,320,13.5,22.5,50,65,62,68
Manufacturing,Large (501-5000),Asia Pacific,1750,11.2,13.8,65,70,65,72
Software & IT Services,Medium (51-500),Europe,850,16.8,17.5,60,75,78,68
Healthcare,Medium (51-500),North America,780,14.5,14.2,45,65,70,78
Financial Services,Large (501-5000),North America,1850,11.8,15.5,70,80,75,65
Retail,Small (10-50),Asia Pacific,280,13.2,11.5,55,60,55,70
Energy & Utilities,Large (501-5000),North America,1450,7.5,18.2,50,65,60,80
Telecommunications,Large (501-5000),Europe,1650,8.2,15.5,65,75,70,68
Education,Small (10-50),Asia Pacific,180,12.5,9.8,35,55,50,72
Professional Services,Medium (51-500),North America,580,14.8,19.5,55,70,65,70
Software & IT Services,Large (501-5000),Asia Pacific,1950,15.2,16.8,75,80,85,65
Healthcare,Enterprise (5000+),Europe,2250,13.5,13.5,60,75,72,85
